"id","source_id","location_diller","vin","city_fuel","hwy_fuel","make","model","trim","year","body_type","odometer","fuel","condition","driveline","exterior_color","interior_color","engine","engine_size","engine_cylinders","passengers","price","images","transmission","airbags","options","seating_capacities","status","schema_mark","schema_models","schema_vin","schema_year","schema_color_body","schema_body_type","schema_number_doors","schema_transmission","schema_engine_type","schema_price"
"3945","43406","1505 Dundas Street East, Whitby, Ontario, L1N 2K6","KMHLM4AG4MU090963","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","0","Gas","new","FWD","Black","Other","1.6-L L-4 DOHC 16V","1.6 L","4","","23624","https://carnance-photos.s3.amazonaws.com/kmhlm4ag4mu090963/c1e8b072-5680-11eb-9e68-132fbf5571b6.jpg","Automatic","0","","","sold","Hyundai","Elantra","KMHLM4AG4MU090963","2021","Black","Sedan","4","Automatic","Internal Combustion","23624"
"4991","43385","248 Rexdale Blvd Toronto CA","KMHLM4AG9MU090263","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","49","Gas","new","FWD","Space Black","NNB-BLACK","1.6-L L-4 DOHC 16V","1.6 L","4","","23924","https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/852d6dee-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/86096ac4-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/86f9cb90-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/87e20c8e-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/88be662a-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/89bb8184-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8aae3bf4-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8bb3aa48-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8c86b064-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8d5cb7cc-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8e3561a8-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8f0df086-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/8ff10556-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/90c36730-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/919ad6d4-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/92753464-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/93642a56-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/943bc240-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/95249132-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/95fbf7d0-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/96e713e6-567b-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag9mu090263/97ca2596-567b-11eb-9e68-132fbf5571b6.jpg","Automatic","0","BLACK, PREMIUM CLOTH SEATING SURFACES|SPACE BLACK","","sold","Hyundai","Elantra","KMHLM4AG9MU090263","2021","Space Black","Sedan","","Automatic","Internal Combustion","23924"
"3958","43406","1505 Dundas Street East, Whitby, Ontario, L1N 2K6","KM8J3CA48MU348234","11L/100Km","9L/100Km","Hyundai","Tucson","Limited 2.4-L L-4 DOHC 16V AWD","2021","SUV","0","Gas","new","AWD","Black","Other","2.4-L L-4 DOHC 16V","2.4 L","4","5","33954","https://carnance-photos.s3.amazonaws.com/km8j3ca48mu348234/f813c22e-5683-11eb-9e68-132fbf5571b6.jpg","Automatic","0","Body Style|Wheelbase (in.)|Length, Overall (in.)|Width, Max W/o Mirrors (in.)|Height, Overall (in.)|Passenger Capacity|Passenger Volume (cu. Ft.)|Front Head Room (in.)|Front Leg Room (in.)|Front Shoulder Room (in.)|Front Hip Room (in.)|Second Head Room (in.)|Second Leg Room (in.)|Second Shoulder Room (in.)|Second Hip Room (in.)|Cargo Volume To Seat 1 (cu. Ft.)|Cargo Volume To Seat 2 (cu. Ft.)|Cargo Volume To Seat 3 (cu. Ft.)|Rear Defrost|Privacy Glass|Power Windows|Rear Spoiler|Base Curb Weight (lbs.)|Tires - Front Performance|Tires - Rear Performance|Compact Spare Tire|Tire Pressure Monitoring System|Aluminum Wheels|Wheel Locks (Optional)|Alarm|Back-Up Camera|Passenger Illuminated Visor Mirror|Passenger Vanity Mirror|Driver Illuminated Vanity Mirror|Driver Vanity Mirror|Power Mirrors|Heated Mirrors|Power Door Locks|Keyless Entry|Variable Speed Intermittent Wipers|Intermittent Wipers|Remote Trunk Release|Trip Computer|Heated Steering Wheel|Leather Wrapped Steering Wheel|Steering Wheel Controls|Adjustable Steering Wheel|Remote Engine Start|Hands-Free Liftgate|Power Liftgate|Keyless Start|Auto-Off Headlights|Fog Lamps|Vehicle Anti-Theft System|Cruise Control|Power Steering|Universal Garage Door Opener (Optional)|Luggage Rack (Optional)|Electrochromic Rearview Mirror (Optional)|Interior Cargo Shade (Optional)|AM/FM Stereo|Auxiliary Audio Input|HD Radio|MP3 Player|Satellite Radio|Premium Sound System|Smart Device Integration|Apple CarPlay|Android Auto|Climate Control|Dual Zone A/C|A/C|Onboard Hands-Free Communications System|Wireless Cell Phone Hookup|Heated Front Seats|Driver Lumbar|Power Driver Seat|Power Passenger Seat|Pass-Through Rear Seat|2nd Row Bench Seat|Bucket Seats|Leather Seats (Optional)|All Wheel Drive|4 Cylinder Engine|Engine Type|Displacement|Horsepower (Net @ RPM)|Torque (Net @ RPM)|Transmission|Turning Diameter|Gasoline Fuel|EPA Fuel Economy Est - City (MPG)|EPA Fuel Economy Est - Hwy (MPG)|Fuel Tank Capacity, Approx (gal.)|Suspension Type - Front|Suspension Type - Rear|Suspension Type - Front (Cont.)|Suspension Type - Rear (Cont.)|Automatic|Automatic Transmission W/Manual Mode|6-Speed Automatic|Driver Air Bag|Passenger Air Bag|Front Head Air Bag|Rear Head Air Bag|Front Side Air Bag|4-Wheel ABS|4-Wheel Disc Brakes|Brake Assist|Electronic Stability Control|Daytime Running Lights|Child Safety Locks|Integrated Turn Signal Mirrors|Traction Control|Blind Spot Monitor|Lane Departure Warning|Lane Keeping Assist|Cross-Traffic Alert","5","sold","Hyundai","Tucson","KM8J3CA48MU348234","2021","Black","SUV","4","Automatic","Internal Combustion","33954"
"3156","43385","248 Rexdale Blvd Toronto CA","KMHLN4AG9MU066526","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","99","Gas","new","FWD","Polar","NNB-BLACK","1.6-L L-4 DOHC 16V","1.6 L","4","","30124","https://carnance-photos.s3.amazonaws.com/kmhln4ag9mu066526/7dca20e6-568b-11eb-9e68-132fbf5571b6.jpg","Automatic","0","","","sold","Hyundai","Elantra","KMHLN4AG9MU066526","2021","Polar","Sedan","","Automatic","Internal Combustion","30124"
"3455","43385","248 Rexdale Blvd Toronto CA","KMHLM4AG1MU070587","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","99","Gas","new","FWD","Electric Shadow","NNB-BLACK","1.6-L L-4 DOHC 16V","1.6 L","4","","25514","https://carnance-photos.s3.amazonaws.com/kmhlm4ag1mu070587/e07bc6d6-568b-11eb-9e68-132fbf5571b6.jpg","Automatic","0","ELECTRIC SHADOW|BLACK, PREMIUM CLOTH SEATING SURFACES","","sold","Hyundai","Elantra","KMHLM4AG1MU070587","2021","Electric Shadow","Sedan","","Automatic","Internal Combustion","25514"
"3121","43385","248 Rexdale Blvd Toronto CA","KMHLM4AG2MU071263","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","99","Gas","new","FWD","Polar","NNB-BLACK","1.6-L L-4 DOHC 16V","1.6 L","4","","25224","https://carnance-photos.s3.amazonaws.com/kmhlm4ag2mu071263/8244f1a0-568b-11eb-9e68-132fbf5571b6.jpg","Automatic","0","POLAR","","sold","Hyundai","Elantra","KMHLM4AG2MU071263","2021","Polar","Sedan","","Automatic","Internal Combustion","25224"
"4236","43385","248 Rexdale Blvd Toronto CA","KMHLM4AG5MU068762","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","99","Gas","new","FWD","Polar","NNB-BLACK","1.6-L L-4 DOHC 16V","1.6 L","4","","25374","https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f3001284-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f417fb64-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f543540c-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f6690020-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f7a9e5d0-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f899db6c-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/f99ea826-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fa77b616-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fb4700b0-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fc0dff3a-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fd05ce9a-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fe069a0e-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/fed4a1ba-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/ffc27b38-5682-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/008e2cf6-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/01a22fd4-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/0294d856-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/03b46616-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/04b94d4c-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/05c93ed6-5683-11eb-9e68-132fbf5571b6.jpg,https://carnance-photos.s3.amazonaws.com/kmhlm4ag5mu068762/06d5c146-5683-11eb-9e68-132fbf5571b6.jpg","Automatic","0","POLAR|NITROGEN","","sold","Hyundai","Elantra","KMHLM4AG5MU068762","2021","Polar","Sedan","","Automatic","Internal Combustion","25374"
"4157","43406","1505 Dundas Street East, Whitby, Ontario, L1N 2K6","KMHLM4AG8MU066925","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","0","Gas","new","FWD","Black","Other","1.6-L L-4 DOHC 16V","1.6 L","4","","25124","https://carnance-photos.s3.amazonaws.com/kmhlm4ag8mu066925/edd7d9dc-5695-11eb-9e68-132fbf5571b6.jpg","Automatic","0","","","sold","Hyundai","Elantra","KMHLM4AG8MU066925","2021","Black","Sedan","4","Automatic","Internal Combustion","25124"
"5041","43385","248 Rexdale Blvd Toronto CA","KMHLM4AG8MU096894","","","Hyundai","Elantra","SEL 1.6-L L-4 DOHC 16V FWD","2021","Sedan","49","Gas","new","FWD","Polar","BLACK, CLOTH SEATING SURFACES","1.6-L L-4 DOHC 16V","1.6 L","4","","23499","https://images.dealer.com/ddc/vehicles/2021/Hyundai/Elantra/Sedan/trim_Essential_d5d1ff/still/front-left/front-left-640-en_CA.jpg","Automatic","0","BLACK, PREMIUM CLOTH SEATING SURFACES|POLAR WHITE","","sold","Hyundai","Elantra","KMHLM4AG8MU096894","2021","Polar","Sedan","","Automatic","Internal Combustion","23499"
"3241","43385","248 Rexdale Blvd Toronto CA","5NPEJ4J23MH084236","8L/100Km","6L/100Km","Hyundai","Sonata","SEL Plus 1.6-L L-4 DOHC 16V FWD","2021","Sedan","49","Gas","new","FWD","Quartz","SPORT","1.6-L L-4 DOHC 16V","1.6 L","4","5","33574","https://carnance-photos.s3.amazonaws.com/5npej4j23mh084236/f9c492ec-5688-11eb-9e68-132fbf5571b6.jpg","Automatic","0","QUARTZ WHITE|DARK GREY W/RED STITCHING, LEATHERETTE/DINAMICA SEATING SURFACES W/RED ACCENT","5","sold","Hyundai","Sonata","5NPEJ4J23MH084236","2021","Quartz","Sedan","","Automatic","Internal Combustion","33574"
